x,y,I1,I2,I3,I4,I5,I6,I7
-2.1818181818181817,3.6363636363636367,4,0,3,3,4,2,2
-2.1818181818181817,5.090909090909092,1,1,2,2,8,0,0
-2.1818181818181817,6.545454545454547,0,0,0,0,0,3,4
-2.1818181818181817,8.0,0,0,0,0,0,0,0
-0.7272727272727266,-8.0,0,0,0,0,0,0,0
-0.7272727272727266,-6.545454545454545,1,3,3,3,0,0,0
-0.7272727272727266,-5.090909090909091,0,0,4,2,2,3,4
-0.7272727272727266,-3.6363636363636367,0,0,1,4,2,0,2
-0.7272727272727266,-2.1818181818181817,0,0,0,0,0,3,0
-0.7272727272727266,-0.7272727272727266,0,0,0,0,0,0,0
-0.7272727272727266,0.7272727272727266,0,0,0,0,0,0,0
-0.7272727272727266,2.1818181818181817,4,1,0,0,0,0,0
-0.7272727272727266,3.6363636363636367,2,6,2,5,2,1,0
-0.7272727272727266,5.090909090909092,1,0,7,2,2,1,2
-0.7272727272727266,6.545454545454547,0,0,0,2,2,1,6
-0.7272727272727266,8.0,0,0,0,0,0,0,0
0.7272727272727266,-8.0,0,0,0,0,0,0,0
0.7272727272727266,-6.545454545454545,5,4,0,2,2,0,0
0.7272727272727266,-5.090909090909091,3,2,8,2,3,0,6
0.7272727272727266,-3.6363636363636367,0,0,2,0,1,4,2
0.7272727272727266,-2.1818181818181817,0,0,0,0,0,0,0
0.7272727272727266,-0.7272727272727266,0,0,0,0,0,0,0
0.7272727272727266,0.7272727272727266,0,0,0,0,0,0,0
0.7272727272727266,2.1818181818181817,6,3,0,0,0,0,0
0.7272727272727266,3.6363636363636367,1,2,8,7,4,3,1
0.7272727272727266,5.090909090909092,19,2,7,1,4,1,1
0.7272727272727266,6.545454545454547,0,0,0,0,6,4,1
0.7272727272727266,8.0,0,0,0,0,0,1,0
2.1818181818181817,-8.0,0,0,0,0,0,0,0
2.1818181818181817,-6.545454545454545,1,0,2,1,0,0,0
2.1818181818181817,-5.090909090909091,7,1,4,3,7,2,3
2.1818181818181817,-3.6363636363636367,0,0,0,9,8,2,2
2.1818181818181817,-2.1818181818181817,0,0,0,0,3,0,4
2.1818181818181817,-0.7272727272727266,0,0,0,0,1,0,5
